First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,red herald,blue herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,winner
2,0,0,0,0,0,0,0,0,0,32,1960,0,0,1,31,1529,1,0,0,38,2057,0,0,0,27,1451,0,0,0,0,845,0,0,0,28,1720,0,0,0,29,1323,0,1,0,30,2058,0,0,0,27,1196,0,0,0,1,1016,0,0,0,100
2,0,0,0,0,0,0,0,0,0,37,1762,0,1,1,31,1501,1,0,0,34,2080,0,0,0,28,1362,0,0,0,5,1091,0,1,0,22,1697,1,1,0,36,1650,0,0,0,37,2050,0,0,0,29,1201,0,0,1,7,1021,1,0,0,200
2,0,0,0,0,0,0,0,0,0,33,1996,0,1,2,16,1003,2,2,0,38,2118,0,0,0,33,1278,0,0,0,0,1278,0,0,0,18,1724,2,2,1,28,1404,0,0,1,33,1874,1,0,0,33,1208,0,0,0,0,1208,0,0,0,200
2,0,0,0,0,0,0,0,0,0,31,2026,0,0,0,33,1712,1,0,0,22,1457,0,2,1,35,1369,2,0,0,7,1136,0,0,3,12,1418,0,0,0,24,1470,0,1,1,28,1696,2,0,0,30,1129,0,1,0,1,1068,0,1,0,100
2,0,0,0,0,0,0,0,0,0,27,1666,0,0,1,32,1792,1,0,0,28,1725,1,0,1,21,1180,0,0,0,5,853,0,2,1,29,2117,0,1,0,28,1492,0,1,0,33,1809,0,0,0,35,1581,1,0,1,3,925,1,0,1,100
