First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,red herald,blue herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,winner
2,0,1,0,0,0,1,0,0,0,77,4723,0,1,5,67,4154,4,0,0,78,4555,1,0,1,70,3975,2,0,1,6,2492,1,1,1,71,4394,0,2,1,57,3361,1,3,0,83,4802,0,0,0,59,2866,1,2,0,2,2719,0,1,1,100
2,0,0,0,0,0,0,0,0,0,83,4816,1,2,2,78,4184,4,2,0,76,4848,0,0,2,47,2975,2,1,1,15,3139,1,1,2,64,4144,2,3,1,76,4447,2,0,2,74,4266,1,1,1,68,3062,0,1,3,14,2169,1,3,1,200
2,0,0,1,0,0,0,0,0,0,83,5206,1,2,3,43,2812,2,4,2,85,4686,1,2,1,71,3210,2,1,0,1,2815,1,2,2,50,4142,2,4,2,84,4911,2,0,6,76,5067,6,1,0,81,2885,0,1,2,1,2734,1,1,1,200
2,0,0,0,0,0,0,1,0,0,72,4372,0,1,1,59,3466,2,2,0,46,3443,1,3,1,75,3409,2,0,1,14,2313,1,2,3,42,3540,1,0,0,37,2671,0,3,4,74,5134,5,0,0,62,2854,2,1,0,4,2728,0,2,2,100
2,0,0,1,0,0,1,0,0,0,75,4459,0,0,1,85,5069,4,0,0,75,4431,1,1,1,69,3139,0,0,2,18,2688,0,2,2,64,4291,0,1,0,71,3552,0,1,1,96,5026,1,0,0,83,3392,1,1,1,5,2295,1,2,1,100
