First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,blue herald,red herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,Winner
10,9,1,1,3,3,1,1,0,0,159,13,7,1,2,146,12,1,3,7,188,13,4,2,0,132,11,4,4,5,18,8,3,3,7,135,11,0,7,0,92,11,5,2,3,166,13,2,1,2,165,11,3,1,5,11,8,3,8,7,1
8,2,3,0,8,2,2,0,1,0,27,9,4,4,10,127,13,9,0,9,100,12,15,3,5,141,12,2,4,7,155,13,4,2,6,17,9,0,3,5,96,10,2,12,1,153,12,3,5,1,126,11,7,5,1,113,11,1,9,2,1
5,0,1,1,2,4,2,0,0,0,106,11,3,3,1,184,13,6,3,2,151,12,1,6,3,141,11,1,2,5,17,8,2,5,3,157,12,3,2,7,130,12,8,4,2,150,12,4,3,6,142,11,1,3,5,31,10,3,1,4,-1
6,6,0,2,2,4,1,0,0,0,167,13,4,1,1,123,11,6,8,2,102,11,1,6,4,140,10,2,5,5,3,9,2,7,6,147,13,11,3,3,125,12,3,2,15,105,11,3,1,3,148,11,9,6,5,29,9,1,3,16,-1
9,2,1,1,1,2,2,0,0,0,156,12,6,2,2,116,11,1,4,6,134,12,7,3,2,5,8,0,9,2,145,11,2,2,3,155,12,4,4,1,136,11,6,3,4,132,11,2,5,4,148,10,6,1,4,21,9,2,3,10,-1
6,3,2,0,9,0,2,0,2,0,117,13,8,4,4,89,12,12,4,6,189,13,9,3,5,160,12,6,3,11,27,8,1,4,14,123,12,6,7,3,97,9,1,9,3,71,11,2,12,5,124,11,6,3,2,13,10,3,5,10,1
9,7,1,0,5,3,0,1,0,0,160,13,9,2,5,117,12,4,5,8,74,12,14,1,7,132,12,1,5,10,29,10,1,6,12,150,12,0,2,2,151,12,7,6,1,109,10,6,11,0,129,11,3,5,9,31,9,3,5,8,1
9,2,1,2,4,3,2,0,0,0,116,11,0,4,1,119,12,9,2,2,217,14,1,1,3,167,11,3,3,5,37,9,2,4,10,159,13,3,1,3,148,12,5,3,3,151,12,0,1,2,176,12,5,4,3,8,9,1,6,9,1
10,7,3,0,1,2,0,1,0,0,158,12,0,2,2,102,12,11,0,1,141,12,3,1,7,165,12,2,1,1,33,8,2,1,3,127,11,1,6,1,126,11,1,5,1,155,12,2,4,0,177,11,0,1,4,10,9,1,2,3,1
1,9,3,0,3,2,1,1,0,0,178,13,5,0,2,149,12,4,0,7,172,12,2,3,4,161,12,4,1,3,31,10,3,2,8,125,11,0,6,2,112,10,0,5,1,135,12,2,3,0,190,12,4,1,0,14,8,0,3,2,1
