First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,blue herald,red herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,Winner
7,9,0,2,0,3,1,0,0,0,83,10,1,3,2,90,10,3,2,1,112,10,0,3,2,98,8,0,5,0,2,8,2,5,3,106,10,3,3,0,84,10,7,0,4,102,10,1,3,5,133,10,6,0,2,12,8,1,0,12,-1
2,2,2,0,1,0,1,0,0,0,90,11,5,2,5,86,10,8,3,5,83,9,2,4,7,111,9,7,2,2,6,8,1,0,7,62,9,3,6,3,72,9,5,5,2,118,10,2,2,4,115,9,1,5,0,17,7,0,5,2,-1
9,6,1,1,0,3,0,1,0,0,99,9,0,6,1,113,10,2,1,0,130,11,2,1,1,144,10,4,1,2,3,8,0,2,5,131,10,4,2,0,118,11,1,0,4,138,11,2,1,0,88,8,3,2,2,31,8,1,3,5,1
1,2,1,1,1,1,1,0,0,0,111,10,2,1,1,112,10,4,0,1,123,11,0,1,4,136,9,0,0,0,3,8,0,1,3,116,10,1,3,0,114,10,0,2,2,133,10,0,1,2,138,10,2,0,0,20,8,0,0,3,-1
1,4,1,0,2,0,1,0,0,0,113,10,3,4,0,89,9,2,2,4,103,10,5,2,1,122,9,2,1,3,10,8,0,0,6,118,11,4,3,3,102,10,4,1,2,82,9,1,4,2,125,9,0,2,1,21,7,0,2,4,1
4,9,1,0,2,1,1,0,0,0,118,11,3,1,2,125,11,4,2,3,111,10,4,1,1,96,9,2,2,1,13,7,0,1,6,86,9,1,4,0,93,9,2,1,1,123,10,0,2,1,141,10,3,3,0,15,8,1,3,3,1
3,3,2,0,1,1,0,0,0,0,105,10,1,1,3,107,9,4,2,5,124,11,6,3,3,110,9,3,1,2,8,7,3,3,4,88,9,1,8,2,106,10,4,1,1,138,11,3,1,2,107,9,1,2,2,10,6,1,5,4,1
6,2,0,1,1,1,1,0,0,0,90,10,1,3,6,98,10,4,0,3,122,11,4,0,1,118,9,1,3,1,8,6,1,4,5,85,9,3,5,0,119,10,5,0,2,85,9,1,4,0,116,9,1,1,2,26,7,0,1,7,-1
6,4,0,0,1,2,0,1,0,0,99,9,4,3,1,104,11,9,3,9,125,10,3,0,6,141,10,2,1,4,23,7,1,2,8,132,12,6,1,2,92,9,1,2,1,112,9,0,3,0,87,9,2,6,2,20,6,0,7,4,1
3,1,0,1,2,1,1,0,0,0,129,12,5,0,0,120,11,2,1,5,86,10,3,2,2,110,9,2,4,2,3,9,2,1,4,118,10,0,5,0,111,10,5,2,1,108,10,0,2,4,141,9,2,3,3,6,8,1,2,4,1
2,7,0,1,0,1,0,1,0,0,89,10,2,4,1,95,10,5,2,2,97,10,2,6,1,103,9,3,4,4,9,8,2,1,6,125,12,5,3,0,95,9,3,4,0,103,11,3,0,2,118,10,5,3,1,10,8,1,4,7,-1
4,0,0,1,0,3,0,1,0,0,104,10,0,4,1,83,9,1,2,1,127,10,2,3,0,114,8,2,3,1,5,8,0,3,3,129,11,5,1,2,106,11,5,0,2,109,10,2,2,2,114,9,2,2,4,10,7,2,1,4,-1
3,2,0,2,1,0,1,0,0,0,140,11,1,3,1,111,10,3,4,3,120,10,1,5,2,145,9,7,1,0,1,8,0,2,7,101,11,0,1,2,83,10,10,3,3,94,11,5,1,2,87,9,0,3,2,13,8,0,4,8,1
3,2,1,0,2,0,1,0,0,0,102,9,1,3,4,77,9,1,2,9,103,11,9,2,3,154,10,4,0,1,24,8,1,0,6,99,10,4,4,1,93,9,1,3,6,111,10,0,4,4,128,9,1,3,0,23,7,1,2,2,1
8,5,0,1,1,1,1,0,0,0,105,10,1,2,2,86,10,5,1,8,130,10,6,1,4,79,9,3,4,6,9,8,4,0,10,129,11,2,1,0,97,9,1,4,0,82,10,4,4,1,104,9,1,4,0,12,6,0,6,1,-1
1,1,1,1,2,0,1,0,0,0,155,12,7,1,1,95,10,5,2,3,96,10,5,0,11,120,10,8,3,5,22,8,2,2,8,70,8,1,7,2,130,10,1,2,1,103,9,2,5,1,68,8,2,9,3,20,7,2,4,2,1
10,2,1,1,1,1,1,0,0,0,153,12,2,1,5,97,9,3,2,2,108,11,3,1,2,86,8,2,5,4,4,8,3,5,4,88,10,1,2,1,94,9,4,4,1,89,10,1,3,1,124,9,5,2,7,31,8,3,2,7,-1
6,3,0,0,3,0,0,1,0,0,118,11,3,0,4,88,9,6,3,2,123,11,5,6,3,111,9,4,3,4,18,9,5,1,4,83,9,2,7,1,91,10,3,3,2,96,10,2,4,4,62,8,1,6,3,15,8,5,3,3,1
9,4,1,0,1,0,0,1,0,0,126,11,2,0,1,116,10,3,1,2,124,10,2,3,4,113,10,6,3,1,13,8,0,4,7,96,10,0,1,2,99,10,6,3,0,117,10,0,2,0,77,8,5,4,0,23,7,0,3,4,1
3,0,1,0,5,0,1,0,0,0,103,10,1,3,4,97,11,12,2,6,96,11,9,4,6,140,10,9,0,5,23,8,0,1,14,99,10,1,5,5,59,9,7,7,1,106,10,1,5,3,73,8,0,8,1,24,7,1,6,3,1
7,9,0,0,0,3,0,1,0,0,82,9,4,6,3,95,10,5,4,4,111,9,1,7,3,64,8,1,8,1,22,8,1,5,5,113,11,6,5,2,69,9,3,3,9,158,12,4,1,2,151,12,16,1,3,18,8,1,2,13,-1
4,2,1,0,1,1,1,0,0,0,92,10,2,0,3,88,9,2,3,4,117,9,0,3,2,100,9,2,2,5,5,8,2,3,3,123,10,0,1,2,70,8,0,4,9,89,10,8,2,0,134,9,3,1,1,26,7,0,0,6,1
2,4,0,0,1,0,1,0,0,0,122,11,4,2,2,83,9,4,1,4,105,10,3,1,0,147,10,5,1,4,17,7,0,5,7,71,10,2,5,1,88,9,4,4,3,141,11,1,0,0,107,9,2,4,2,5,8,1,3,6,1
9,0,0,1,1,3,1,0,0,0,83,10,2,3,4,82,9,3,3,3,134,11,2,3,1,105,8,0,8,0,2,6,1,3,2,91,10,4,5,1,94,10,5,2,3,86,10,2,1,5,136,10,7,0,4,15,9,2,0,8,-1
6,7,1,1,0,2,0,0,0,0,132,11,0,5,2,91,10,6,3,1,99,9,1,5,2,85,8,1,3,2,26,8,0,7,3,134,11,3,2,2,113,11,9,1,5,88,10,4,3,3,112,9,4,1,5,24,8,3,1,4,-1
8,2,2,0,1,2,1,0,0,0,99,9,3,3,0,75,8,1,2,4,101,10,2,1,1,91,9,2,4,1,24,7,2,4,2,127,11,2,0,2,115,10,6,2,4,86,9,3,3,2,106,10,3,3,6,8,7,0,2,8,-1
4,8,1,0,0,1,0,1,0,0,92,10,3,2,0,108,10,4,1,5,110,11,3,5,5,115,9,6,2,2,18,8,0,3,7,134,11,2,2,3,78,9,5,3,1,107,10,4,5,3,119,9,0,3,3,7,8,2,3,6,1
2,3,0,1,1,0,1,0,0,0,100,10,5,2,2,105,10,3,4,6,111,10,2,3,9,107,9,4,2,1,5,8,4,2,11,69,9,1,2,4,111,10,3,1,6,107,10,4,6,3,110,10,3,4,5,21,8,2,5,5,-1
4,4,0,1,1,0,1,0,0,0,90,11,5,2,2,89,9,2,4,5,97,10,5,4,3,127,10,5,2,3,18,7,1,2,7,93,10,2,6,3,95,10,7,3,2,100,10,3,1,9,94,9,2,3,3,9,8,0,5,4,-1
6,10,0,1,0,5,1,0,0,0,98,10,3,4,0,100,9,0,2,1,63,8,1,6,0,71,8,2,6,3,6,7,1,6,4,106,11,8,1,0,69,10,5,0,10,144,12,3,2,3,140,9,6,2,3,2,9,2,2,12,-1
2,1,1,0,1,0,1,0,0,0,135,10,1,1,0,75,9,4,2,2,112,10,0,0,2,119,10,0,1,3,22,7,1,2,4,137,11,1,0,2,102,9,2,2,0,134,10,2,1,2,107,9,0,2,3,6,7,1,1,3,-1
6,2,0,1,2,0,1,0,0,0,129,11,6,1,0,105,10,2,2,2,108,10,4,3,4,43,8,0,1,8,51,8,2,2,5,129,10,2,2,1,100,10,3,0,4,107,10,4,4,2,119,9,0,4,1,4,8,0,4,6,1
7,7,1,0,1,2,0,1,0,0,88,9,4,4,4,126,11,3,1,1,126,10,0,2,4,108,9,2,3,1,8,7,3,5,5,98,10,6,3,3,96,10,4,3,3,11,8,3,1,7,129,10,1,2,3,80,10,1,3,1,-1
1,7,1,0,0,1,0,1,0,0,91,11,6,4,0,138,11,3,3,0,122,10,0,2,1,120,9,1,2,1,27,7,0,2,1,68,9,2,5,2,81,9,1,2,3,115,11,6,1,1,131,10,4,1,3,22,7,0,1,4,-1
9,6,2,0,2,2,0,1,0,0,131,11,4,0,2,82,9,3,2,3,138,11,0,3,0,93,9,1,4,1,5,7,1,1,5,99,10,3,2,1,132,11,2,1,3,8,7,1,3,4,115,9,1,4,3,113,10,4,0,0,1
2,3,0,1,1,0,1,0,0,0,123,11,2,1,1,138,10,3,2,1,116,10,1,0,2,103,8,1,1,4,5,7,1,1,5,132,11,1,1,0,104,10,1,2,1,98,9,1,1,1,100,9,2,2,1,24,6,1,3,3,1
6,0,0,2,0,1,1,0,0,0,124,10,2,3,1,98,9,0,0,3,141,11,2,1,1,104,9,1,1,2,16,7,2,5,2,118,11,2,1,0,107,9,1,0,3,132,10,4,1,0,132,9,2,3,2,1,8,1,2,7,-1
2,2,1,0,2,0,1,0,0,0,93,10,0,3,4,97,9,5,0,2,126,11,3,1,1,134,10,3,0,7,27,8,2,0,7,97,9,0,2,1,79,9,1,1,1,120,11,3,2,0,117,8,0,4,0,5,7,0,4,0,1
8,2,0,1,2,2,1,0,0,0,83,10,2,4,2,79,9,4,4,0,125,10,2,6,1,95,8,3,6,3,10,8,3,2,5,96,11,5,5,0,98,10,4,3,3,146,12,8,0,1,83,8,2,4,5,23,9,3,2,6,-1
3,3,0,1,3,1,1,0,0,0,95,10,6,4,3,95,10,3,0,5,127,11,6,7,3,27,8,3,3,6,99,10,5,5,4,17,8,2,2,1,77,10,6,7,1,99,10,2,6,4,93,9,2,5,3,96,11,7,3,3,1
