dataVersion,matchId,participants
2,NA1_4122901822,"['lF8Q5bmMtOTStmNpR9-4weMPQM1KFja4NzGKj6NYv0JV-nJt-Et2umiQGbkixqi0TRoncfIqDApG1Q', 'bd0n4CBCfzWWTMvhyq4Bu2KT7Q1OrJjje5lFUr8XQQEOAsM27M_d22fGMWj3KtvLwuLbRrQ8uMO2-A', 'TCQvRdBwGe58hm3QxbMHcsniVe4dPj_fIvzG40ihSE3JQ8BR-9l8H6rNqr9ALB9EeFhVsCSSTJJB_Q', 'T2X08ulOISHK8JHN9IiJxTQewtggvDQB-v1Fx_EtFgqXJ0CwdFCfFzuY_39RwW86s9_1a75KEfl1MA', '35sTLXly9WTS_j6MQZ2WCDwROiy8RQKrhh-wTkLeGyB500aOkNX6VoyII4hERsMLovyKgb7XY0OLHA', 'qedn6141es_u7Br63hJd1QXNzYVhls_Ag-OTdBBZEd0xu-_4bdgj64_U233mD-NtvZ8_N-USVHcDBA', 'fJqSib5xbOvgD1UCbZeChySIUuYDGaMv1cyhCINgFafyDJchjqNFWMfMEDdFwpAtDYbkvSzvCJ6kVg', 'g9gFROFLlTtU32ffQq3jFduZt2KY86OBPVIgltcJ3zO-uT6kgb99PBxhI2Vk7Ps3ek8ZNrXjVjbOmA', '8NpaiY9-RK1cH_5d42vFKr8h5N93pIWT2ThT8IBGVywx0XUAT9LbM1BDt2lqNMPrvrp3UswkaIPcuQ', 'G9qG_Y__2uL9eSE12QSJW388KGGw2H2P1Az6DkX6PV0TxZQ3rfkISiZnG6MgcTVnRtJ2QG-EM7V7zw']"
2,NA1_4123371700,"['OajbUtYkHWYP_JN1haVvMUlhk01bRtkq5CXuLopTeS7PPzo0Y7UwF99chlQ2AXeiGE2M2opovIXOVw', 'Scmw9-zZPbOoeWx8rItdEWIuNfjS1dv45Cmg0cVdOvdar_zBBaJfd7uxMp5jkpj4mIWHjsOIJSTwBw', '2YLoIe0xFRaWqIlWRrQ3TZbLt9KPU_6karx8tlegc5zg8D932NgQ9-_ArPLciIl7AtLNmZS0WARKmA', 'vvoL7144i0IhGK7qe8ra0ngmNZzgTby9Kio1l1reTvBzXJDQ3QDtF7fWZykrXtNHbq1jxwh8KAIhiA', 'b9yosSP6Eh5Jgj5Yl9F0hIydONcVUKIqPxaaQyNpfGyEjlyFmgiEV_doPdpR-1dB8UaSBvnW07aZSg', 'l5iwa8eSJ8LkIgbF9Ievme8Chiu41DfjmeVjaj-RJK3-XSzrT25Go2CbiSBFZYBu0Bratd7XlSw7LA', 'IIQ0sT5pbR8QF2MKnKG-KY5a0V2I9MeNSJeHJ3vc9uouIsj7x415hmOEx2eWAGy-SEZNTZHtrjvqyg', 'HZNFzqF4f4QtLyfIzkyubXh_jAbsJPyRu8vtQtiTm7jAvpotQQDfNTz0kJrmb_we3K3vS5Zv5duuig', 'uEhvoMW70ehKORt5Lm5iG0EsNQ5td3jhfiKenLuJ4slGogprKYCD3v4zAJffkobTG6PSzfHo--eJ4A', 'uPcNKGfaQqARfjST4gvNfvDZ50JiTH0RgsdyG6eKGLIni1hg23V7YDiWnmgGDXIPbZn_nIranzQblA']"
2,NA1_4114734835,"['Fine2_8popQUtQSylbkxHQcrhi3pLhegKLMlL0OWnC5yN5XomBwXEXTE8usLHCA2gdeIeTf4xjGMRA', '9IS3h_EvLUYxP9pxZBPYUCa75_WRJJaS8gXwooPdDudk5IXkfHuI5Kgl8v6AfnZ135EqkFa8HEwYZg', 'QyVEuhTSOShl0FD-eNfwpam7p6K3MI7ZaU_ZtfPyn6Tr58XysecsSZ8dgZo0Z6IRixRGYwH0NhYOjg', '-RR98s-GmdROLk1YRL-G0k4p-4hjcBu1y_KKUTQvubxKdvQHQ2gXe9rXxmGjfVuhrfFxPN-FUxmhUw', 'beRWL5ncvnh-3Zo0_g5XbDhE3d4GwvHOiSZAonuhhZqtqZflIzyUos5I8hG7G7XLITSMaNKZuZDDHQ', 'eLp7ZOI2T0QS74kkUHgx0jXjdw4WpfBCOifTGByRjLgb16ViyAOZcHJ6K8gJeAPaE4WkeYk5gQt7Dw', 'oIq1615DERhY-aaLvpt26_DnyIXQ560ul0d8zKapGg0kaqtFvdYmmXO2XrPXmLYCtn6io583rsegEQ', 'lWeJ9BaGiQYEbDH7mT39embBuqB4GiY7MLUkr1wNiqhyHVM6EYGS-kqlLVku6TP1yfgcAkstMx7rqQ', 'OeY_nOTmTS_5wfnKL8r68i9mmva040K9imPddSPGz6J9rgPlRyC-068iAVUXLZMMwCJ5otCUtu8cbA', 'WHlH62tHfZDDd6zMIs_AzkDwVNcp7MSfxkoxGPJ5ac0i_vBseGfSkV8yA-8D5RrxQXX8VKM1wd30lA']"
2,NA1_4123955005,"['Pmin3TQlWrc3pYvI9UwUaYiMpbtH1cew43Yk_jAQ4L-Q9p4kgM1dcH7cQXiHEYFeZgJYic4bJO-EhQ', 'BqOe6IJ5B5a50kh_-aMnpXRbfFAYoLPzodiQWPovSQwtNZS_55xOphyayaePMIZijZyVoS2KaCOSEQ', '9C3dxW_FbYFVkiQv5-lry03pHvgmnmC9N0Wcs84_HQex83riT093MgQ7plVODTfdRguj0rEbaqN0Yg', '7--mgk9Nt-NOSu80q-MrLy0yrA6M9_sB1riCRrPikclBndAYDNP4w8PwSwXZ4FG7vgUIP0Y8_Uw-jw', 'I_CTXCdH-DVPKANCg9LtAbN-4D7KEwUyAmdrwt8hGE25dGSwmvSwdwLbIcpJIp5nE-q65xWBfPn7Uw', 'UN6HbacTBJW2HWOgWFJ59syWA0M9N_SyoZFWrZunZx2Ro876x5rf2dpb9I66X89IdS3HU5g9WbtioQ', 'OpwVJ_Bogwxh7Tbc8yDerYdEDDZkrDP0XADhM3W7ozD6kIrKrjWGfZHowZ_2ZizSSLwhNST5gKQL0A', 'Mp_ib3AJTTv6wXWfUyXN2ssvXsobF4c_VlabLoSpMP9MaleqZWrUUXLkgpymhPkZbfHKlmpLiZPdMw', 'r0X9TCLGEef1Are9_k9QgifxgUX7uJdMVzo9YhXGmedY57flVo2QP3T5iCWw_Zeiq6Bs3rxy9I-mYA', 'Oigl5ZscB_nmDy2aciZwFL4l-lihasGIsWQg2p78ZIdoDiNk3_oPR4u2WlB2ZfAsIePxNEJ8YDQUxA']"
2,NA1_4097524043,"['-5iEZf-W4J6PozNzjfnuN4h9bh0vBJqjldRk0uTPjeKajL_V5dTd1w3GfzNy-OMpikbcMpGCDBp3ug', 'ADPEw9gzAS41oyPAtygOsX8IjiFuAYADUe6RLbry5EOoM_tDB0he_TfkFihJc6ic29c6xPa97JXg7Q', 'PUVwrvXy3Zj8cNVWUa6MuHe5CwXP2d6FhD4vGn6J7PI0zZ48B5eb47ggN36YnN5rYptdXHDEaZ6K3g', 'ZrfhFeMS_NjEhzv7SRnzFbEc-pLSFDoWJwmnSodE_zcdXFrSJRQZoUDokk0jIihGbnF4JzkI3xPtmg', 'jRiVhfz_Z_T98p0X3PGYEMmj7ONWP2BL4YTuP3OMmGkFjaKiNGZPMQFWZXXa3atflKZi0ZGwpBhtFg', 'zL4l8fTHCCMJ5pk355OS7Lt9YmmOPpttU_8SXiZLNHGEH0BJCwGuE9gAoimFX26j52qR8ax7sPgnmA', 'KtpzEmIyGYBFi2cBRsAnQFO_447IsB8bFoQrVvJjM0bfquO2mnkeZEaFQU66suh4VojgPZp-0Fnlcg', 'Wl29xZ1kH-SxHD3AUy3fV9oNFRn6kJqpFaUPANCmB2HJgFtR4BtsvwnyjGAXFnHSW940VcQqw5WvLA', 'e7RXeHQqhLIhjTrxJkxTJoPauFfkkqk7mIXtQSC0BOd6CRkHUdSdN7cxK37oBE9Q5k_u0jmD22v6Fg', 'OP07r_qwmrnpFA8YFas2bNo4l_s80uNYEX7m6we3Grk2i1S0ytdmSr1N4zmZlQQxxwPpivFOdaNkCQ']"
2,NA1_4123725225,"['aZ0YupKLF_mFk95eZfKGcAitnRkvu6fjQU1V2geSdjNeQhDR9i0aHbV1d1zIfY9izBdaUUbaeRB1Xg', 'wSAgc3Yyc9e1mYRCl-LlbJ-jB99lL9xzPQJGT9eo_YOqNyAxRXDNBqUp2R4z841UJkdra1ELaota5g', 'UGhEZTedAugGC7h7P0RYgqK2ArI1hase6PL4kJ3VbVVoPMqGhELw00y7lGAr9QhIB47lrXfm8FnLpQ', 'dg-D1BJDKk5MO8tC8WASa6DY8LIT7fVa8Jlns_H6hnJToBYAJnGZjFZIZh2yjssq9t6_ecAS9llnWA', '_4VGnRypSpwqtulo5s8w7jzrIU43ycAztK0EgK4H3JDDpwWH0O7olxejTBiRa3-ol9ZpZuMfKOmxKQ', 'uK2V60TS2suko2aoTV9fIu0v0hxTit2yp6pa30gYcv8BMsoyxdp0ffseP6ovdDIpLMaS7Xy7GCDoYg', 'hJ0ISJ1fFaP5j90RNmpoQ5XLhP43WMG5mWPMG2P4seS6vdk2tpe0obLH4bc3jTUmPH2l8_tWFE675A', 'FgxLnN-TMT9lCIACFwDW6drxN2FUtMZn81TtHCjPEnTuojs3FH0_UijK2GYicyGV0WMJnC_2rmSmOw', 'cp24qeOCDPsAzIwuTNzMqaObWebBEpDu0MMGmctiUbtdqcGS5TflRjRirIpPX_9mxce-93ARLRtwcg', '3B1QH2AnfYH6yyJaiuGN1mfMBjq3SFmhPdOJ7qWzUH2tJS5qTK-ARyOI2HXPQJ0vj5lQMka1hWDvnw']"
