champ1.1,kills1.1,assists1.1,deaths1.1,gold1.1,champ1.2,kills1.2,assists1.2,deaths1.2,gold1.2,champ1.3,kills1.3,assists1.3,deaths1.3,gold1.3,champ1.4,kills1.4,assists1.4,deaths1.4,gold1.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,champ2.1,kills2.1,assists2.1,deaths2.1,gold2.1,champ2.2,kills2.2,assists2.2,deaths2.2,gold2.2,champ2.3,kills2.3,assists2.3,deaths2.3,gold2.3,champ2.4,kills2.4,assists2.4,deaths2.4,gold2.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,first blood,first tower,blue towers,red towers,blue dragons,red dragons,blue heralds,red heralds,blue barons,red barons,win
126,8,10,8,15159,56,7,8,9,11171,101,13,8,6,13132,166,17,18,6,19813,412,1,26,13,8820,13,8,7,9,12444,79,11,12,7,11618,238,15,5,8,14152,360,6,13,12,10102,26,1,19,10,8166,-1,1,10,3,1,3,0,1,0,0,1
164,8,8,11,14963,48,7,14,7,14086,202,13,7,10,16600,18,3,9,6,15812,161,4,12,7,9958,112,12,11,7,22108,113,6,21,7,15860,84,7,4,9,15017,360,14,6,5,19926,117,2,18,7,9827,-1,-1,3,10,2,4,0,1,0,1,-1
777,3,0,10,7573,121,2,3,8,6286,518,2,0,10,5848,51,3,3,8,7137,17,3,6,8,7704,86,7,3,2,8743,238,13,14,3,12574,84,13,2,3,10176,81,6,5,2,9569,25,5,10,3,7136,-1,-1,0,10,1,2,0,2,0,0,-1
112,2,12,7,11951,30,5,12,6,12162,236,13,9,5,16042,51,12,9,5,15636,26,2,21,4,8336,58,10,3,5,13130,234,4,5,9,9849,142,4,8,5,10447,11,8,3,7,13425,12,1,7,8,6384,1,1,9,4,2,2,0,1,0,0,1
54,2,7,10,8789,64,12,6,5,15176,84,6,6,5,12163,18,3,3,5,11744,111,3,13,4,8211,126,9,9,10,16767,238,7,5,4,13992,517,3,6,3,11069,67,9,6,3,14693,117,1,12,6,8078,1,-1,2,10,2,2,0,1,0,2,-1
133,4,5,6,9969,64,8,5,8,11646,127,4,6,5,12204,523,0,3,5,7898,350,2,8,6,6877,777,3,6,7,10816,246,12,9,3,12358,131,6,10,1,13739,235,1,18,2,9875,236,8,6,5,12595,1,-1,4,10,0,4,1,0,0,1,-1
78,1,13,6,11715,64,19,7,7,18966,143,1,14,11,9969,202,11,17,6,18791,8,9,7,10,14687,16,0,24,8,9686,238,11,5,13,16367,112,11,13,6,21256,236,6,9,8,17369,777,12,11,6,19518,-1,1,6,9,2,3,1,1,1,2,-1
126,3,4,2,9677,91,12,1,3,11386,74,0,1,2,6737,222,1,5,0,9012,412,0,4,1,5159,92,1,1,3,6265,64,2,2,4,6670,142,5,1,1,10060,21,0,2,5,7054,497,0,0,3,4001,-1,1,6,0,0,2,2,0,0,0,1
48,1,10,7,9111,4,3,17,1,11577,64,12,12,3,13591,202,10,9,1,14708,26,3,19,1,8203,23,7,2,4,15174,102,2,1,8,9818,238,4,3,7,10679,18,0,1,3,9814,526,0,3,7,5833,-1,1,7,7,4,0,1,1,1,0,1
24,4,9,4,15432,245,17,8,10,16200,157,6,12,11,12767,222,3,8,8,12688,48,4,14,6,9215,54,4,17,4,11383,141,13,9,10,16845,777,17,13,6,20088,147,4,21,8,12946,16,1,27,7,9543,1,1,10,7,3,1,1,1,0,2,-1
