First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,blue herald,red herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,Winner
5,0,0,0,0,0,0,0,0,0,33,4,0,0,0,27,4,1,0,1,22,5,0,0,0,31,5,0,0,0,5,3,1,0,1,40,5,0,0,0,32,4,0,0,0,41,5,0,0,0,27,3,0,2,0,1,3,0,0,0,-1
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,1,2,1,5,2,2,1,2,7,2,1,0,3,3,2,1,1,2,5,2,0,2,0,12,3,2,1,1,12,3,1,0,1,3,1,0,1,0,1,1,1,1,1,-1
1,0,0,0,0,0,0,0,0,0,28,5,1,0,0,29,4,0,0,1,27,5,0,1,0,30,4,0,0,0,7,4,0,0,0,28,5,0,0,0,30,4,0,1,0,35,6,1,0,0,36,4,0,0,0,0,4,0,0,0,-1
8,0,0,0,0,0,0,0,0,0,23,5,0,1,0,32,4,0,0,1,33,5,1,0,0,35,4,0,0,0,1,3,0,1,0,26,4,0,0,1,34,4,0,0,1,25,4,1,1,0,35,4,0,0,2,6,3,1,0,1,1
3,0,0,0,0,0,0,0,0,0,34,5,0,0,0,25,4,0,1,1,28,4,2,1,0,22,3,1,1,2,3,3,1,0,2,29,5,0,0,1,32,4,2,0,0,26,4,0,1,2,26,4,1,2,0,6,4,0,1,1,1
3,0,0,0,0,0,0,0,0,0,27,4,0,0,1,21,4,1,0,1,31,5,1,0,0,28,4,1,1,0,3,3,0,1,1,32,5,0,1,0,31,4,0,0,1,30,4,0,1,0,26,3,1,1,1,7,4,1,0,1,-1
10,0,0,0,0,0,0,0,0,0,27,5,0,0,0,28,4,1,0,0,26,5,0,2,1,24,3,1,2,0,1,3,0,2,1,22,5,0,0,1,32,4,1,0,0,21,4,1,1,0,27,5,3,0,1,1,3,1,1,2,-1
6,0,0,0,0,0,0,0,0,0,26,5,0,1,0,20,4,3,0,0,18,4,0,0,0,26,4,0,0,2,5,3,0,2,1,33,5,1,0,0,16,4,1,0,0,36,5,0,0,1,25,4,1,1,1,5,3,0,2,2,-1
0,0,0,0,0,0,0,0,0,0,29,4,0,0,0,24,4,0,0,0,38,5,0,0,0,22,3,0,0,0,0,3,0,0,0,30,5,0,0,0,29,4,0,0,0,28,5,0,0,0,41,4,0,0,0,7,4,0,0,0,-1
2,0,0,0,0,0,0,0,0,0,16,5,1,0,1,17,3,1,1,1,25,5,0,0,0,27,3,1,0,1,7,3,0,0,2,31,5,0,2,1,32,4,1,0,0,35,5,0,0,0,24,3,0,1,0,6,3,0,0,0,-1
5,0,0,0,0,0,0,0,0,0,23,4,1,1,0,30,5,0,0,0,29,4,1,1,1,25,4,0,0,1,8,4,1,0,0,26,4,0,0,0,42,5,2,0,0,15,4,0,2,1,26,4,0,0,0,1,3,0,1,0,-1
7,0,0,0,0,0,0,0,0,0,22,4,0,1,1,23,4,0,1,0,31,5,1,0,0,1,2,0,2,0,24,4,2,1,0,13,3,0,1,1,24,3,1,1,0,26,5,0,1,1,29,4,3,0,1,8,4,1,0,3,1
9,0,0,0,0,0,0,0,0,0,27,5,2,1,0,24,4,1,1,2,28,5,0,0,0,18,3,4,0,1,6,3,0,3,4,31,5,0,0,1,26,4,1,1,0,17,4,1,1,0,17,3,1,3,1,0,2,2,2,1,-1
5,0,0,0,0,0,0,0,0,0,23,4,0,0,0,23,4,0,1,2,23,4,0,1,1,21,4,1,1,1,5,2,1,2,1,22,4,0,0,0,28,4,2,0,1,23,5,1,0,1,21,3,2,1,1,6,3,0,1,2,-1
3,0,0,0,0,0,0,0,0,0,29,5,0,3,1,20,3,0,1,1,39,5,1,1,0,16,3,0,2,1,0,3,0,0,0,29,5,3,0,3,33,4,0,0,2,21,4,0,0,1,29,4,4,0,0,1,4,0,1,1,-1
9,0,0,0,0,0,0,0,0,0,39,5,0,0,0,29,5,1,1,0,31,4,1,1,0,30,4,0,1,1,1,4,0,1,1,27,5,0,0,0,32,4,0,0,3,31,5,1,1,0,28,4,3,1,0,3,4,0,0,3,1
8,0,0,0,0,0,0,0,0,0,29,4,2,1,0,24,5,0,1,1,24,5,0,1,0,25,3,0,1,0,0,3,0,1,0,18,5,1,1,0,21,4,1,0,3,37,5,1,1,1,29,4,2,0,0,5,3,0,0,2,-1
7,0,0,0,0,0,0,0,0,0,23,4,0,0,0,28,4,0,1,0,21,4,0,1,0,33,3,0,0,0,0,4,1,0,0,33,5,0,0,0,29,4,2,0,0,27,5,0,0,2,12,3,0,1,0,6,4,0,0,0,-1
1,0,0,0,0,0,0,0,0,0,34,5,2,0,0,28,4,0,0,1,33,5,0,0,0,27,4,1,0,1,4,3,1,1,0,22,4,0,2,0,32,4,0,1,0,28,5,0,0,0,26,3,0,1,1,3,4,1,0,0,-1
