First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,blue herald,red herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,Winner
6,6,2,1,1,3,2,0,0,0,116,11,3,10,3,99,11,2,4,10,137,12,8,4,2,143,10,4,4,2,14,9,1,4,4,135,12,9,3,4,115,12,5,8,15,149,13,7,1,6,163,11,4,1,8,14,10,1,5,17,1
7,7,1,2,1,1,0,1,0,0,179,13,1,1,0,191,13,2,0,1,121,11,1,2,3,165,11,1,2,3,17,8,2,2,2,149,12,0,2,1,135,11,2,1,3,175,12,2,1,0,160,11,2,2,2,11,9,2,2,6,-1
3,2,0,2,3,0,1,0,0,0,111,11,1,2,5,109,12,10,1,6,124,11,3,1,2,149,10,1,1,6,25,8,3,1,5,104,11,3,4,0,96,9,1,4,2,113,11,1,5,1,153,9,1,3,2,26,9,0,2,2,1
9,7,2,0,3,2,0,2,0,0,190,13,4,2,1,159,13,6,4,4,133,11,3,2,1,142,12,4,5,8,27,10,3,5,13,169,12,3,3,1,132,12,6,5,4,160,12,2,2,8,150,11,6,5,2,31,9,1,5,10,1
2,5,0,2,5,2,2,0,0,0,174,12,1,3,2,148,12,7,3,3,139,11,2,2,5,154,11,2,5,1,33,9,1,2,6,117,11,2,7,4,150,12,3,2,7,175,12,4,2,7,170,12,2,1,4,13,9,4,1,7,-1
6,7,0,2,3,4,0,2,0,0,137,10,6,5,5,156,12,2,5,3,28,10,4,5,7,158,11,0,2,5,154,12,0,6,5,147,13,8,3,6,97,12,5,1,12,153,13,5,0,5,127,10,5,5,6,27,9,0,3,13,-1
9,9,1,1,2,2,1,0,0,0,179,13,2,5,2,115,12,6,4,3,158,13,7,2,3,158,11,4,0,6,30,9,1,5,9,150,13,5,2,2,109,11,6,3,2,144,12,1,6,5,166,10,4,6,1,28,9,0,3,8,1
3,7,1,2,0,5,0,1,0,0,156,13,4,4,2,117,12,2,5,7,150,11,4,6,1,179,11,1,2,3,35,9,1,4,3,181,13,3,3,2,155,13,14,2,3,163,13,2,1,6,150,11,0,4,4,12,9,2,2,7,-1
8,8,1,1,5,1,1,0,0,0,136,13,8,0,3,127,12,7,6,2,131,13,3,5,8,130,11,6,3,6,14,10,3,5,8,136,12,6,7,5,100,11,4,7,9,187,13,4,3,5,138,11,2,6,5,37,10,4,5,8,1
7,6,1,1,0,4,0,2,0,0,122,11,3,4,3,164,12,6,3,2,152,12,3,5,6,136,11,2,3,8,22,9,2,2,9,148,12,2,1,4,112,11,7,2,1,166,14,6,2,4,166,12,1,7,6,29,9,1,4,5,-1
2,4,0,2,1,2,1,1,0,0,143,11,0,1,2,133,11,5,4,2,145,13,3,1,2,154,11,2,5,4,27,8,1,6,4,142,12,1,2,3,144,12,7,0,3,135,12,2,2,3,168,12,6,3,6,8,10,1,4,12,-1
10,1,0,2,2,1,1,1,0,0,134,11,4,4,4,117,11,4,1,5,133,11,1,4,5,134,11,3,4,2,40,9,1,3,6,119,10,2,5,1,112,11,4,3,4,142,12,3,1,2,181,12,6,2,3,23,9,1,2,9,-1
8,2,1,2,4,3,1,0,0,0,152,13,4,6,4,145,13,8,1,5,126,12,6,3,2,153,12,6,3,4,14,10,1,2,14,125,12,6,5,5,117,11,3,5,3,129,11,3,5,4,173,11,3,5,2,28,10,0,5,8,1
5,9,0,2,1,1,1,0,0,0,110,13,6,3,4,122,11,2,4,3,166,12,4,1,1,161,13,2,3,3,10,8,2,3,5,190,13,1,1,2,146,12,1,5,4,160,13,7,2,1,156,11,3,5,3,10,9,2,3,7,-1
2,0,2,0,4,2,2,0,0,0,203,14,4,1,3,147,14,16,1,5,132,12,1,6,10,156,13,8,0,4,23,11,2,6,16,134,12,1,5,0,124,11,4,7,4,143,12,4,4,3,131,11,2,7,4,13,8,3,8,5,1
4,4,0,1,4,2,1,0,0,0,111,11,1,5,2,142,13,9,0,3,175,13,4,2,4,164,11,7,3,2,7,9,2,4,8,165,12,2,1,2,118,11,8,3,3,121,11,1,8,4,125,10,2,4,2,5,10,1,7,8,1
6,6,2,0,4,1,2,0,0,0,162,13,1,5,3,121,12,1,4,10,171,12,2,2,3,178,12,12,3,8,20,11,7,4,14,149,13,6,2,0,111,11,5,5,5,181,12,0,0,4,116,10,4,9,4,13,10,3,7,7,1
7,1,2,0,6,2,0,1,0,0,191,12,7,1,2,133,12,4,4,10,177,13,5,0,2,92,11,2,5,5,8,11,5,1,10,168,12,3,4,1,93,10,2,6,3,152,12,3,3,5,152,10,3,6,2,12,9,0,4,8,1
2,0,1,1,6,0,1,0,1,0,154,11,1,2,1,89,11,8,0,7,118,11,4,2,1,160,11,6,2,3,6,9,1,1,12,63,8,1,5,1,120,11,3,3,2,123,10,1,5,2,130,10,2,4,2,26,8,0,3,5,1
4,0,1,2,4,4,1,1,0,0,93,11,2,3,4,108,11,6,1,4,158,12,6,2,5,11,10,2,2,12,154,11,2,1,5,131,12,6,3,0,144,11,1,3,2,138,11,0,4,1,176,11,2,5,0,12,8,0,3,2,-1
7,8,1,1,2,9,1,0,0,2,138,12,5,4,1,110,11,5,3,2,130,11,2,5,2,138,11,2,10,3,24,9,0,4,5,187,14,3,4,0,101,12,11,5,5,155,12,7,3,5,160,13,3,2,10,5,10,2,0,16,-1
10,7,0,0,0,7,0,1,0,1,121,10,2,2,0,67,8,0,4,0,107,10,2,8,3,85,9,1,5,0,30,8,2,3,0,115,11,0,1,3,127,11,11,0,3,119,11,5,0,5,99,10,1,3,3,40,9,5,3,9,-1
9,1,1,1,5,1,1,0,0,0,181,13,2,1,4,145,13,7,1,4,163,12,3,4,4,184,13,5,4,2,28,9,0,3,8,126,11,3,4,4,124,11,5,4,3,161,12,1,4,2,178,11,2,3,5,4,9,2,2,9,1
9,8,0,2,0,3,1,1,0,0,144,11,2,4,0,105,11,8,7,4,139,11,2,3,1,140,11,0,5,9,15,9,1,5,10,140,12,6,2,7,118,11,2,1,6,164,14,9,1,8,145,11,7,5,5,29,9,0,4,12,-1
5,5,2,1,4,1,1,0,0,0,118,11,4,3,4,114,11,4,3,5,151,12,6,2,7,150,11,5,4,5,15,10,4,3,15,156,12,5,1,1,114,11,2,5,8,139,12,1,5,9,136,11,7,7,2,15,8,0,5,12,1
9,4,1,0,1,4,0,2,0,0,143,12,1,6,3,108,11,6,6,7,146,11,1,5,2,162,12,6,7,6,18,10,6,9,9,131,13,3,2,8,128,12,6,5,11,177,14,15,2,2,138,12,8,7,12,7,10,1,4,20,-1
1,7,1,1,3,2,0,1,0,0,158,13,3,1,4,124,11,6,5,4,157,13,0,1,7,148,12,4,2,5,16,9,2,2,9,141,12,0,3,5,140,12,6,4,4,179,12,3,4,2,170,11,2,1,0,40,9,0,3,5,1
8,4,2,0,4,1,2,0,0,0,183,13,2,1,1,152,13,7,2,4,134,12,4,5,6,179,11,4,1,3,36,10,1,3,9,170,13,1,3,1,96,11,1,4,4,145,12,4,2,2,152,11,5,3,2,25,9,1,6,2,1
7,10,0,2,2,2,1,0,0,0,138,12,4,5,2,96,11,6,3,2,193,14,6,2,3,139,11,2,7,5,28,9,1,4,8,144,12,1,4,3,115,11,8,4,7,147,12,5,2,3,133,10,5,6,5,6,10,2,3,12,1
5,4,0,2,2,2,0,0,0,0,123,11,2,4,1,161,13,2,4,7,155,13,6,2,2,175,11,3,1,4,41,10,2,2,4,116,11,1,4,1,115,11,3,2,5,162,13,5,3,2,141,10,3,2,0,4,10,1,4,8,-1
8,2,1,2,1,5,1,1,0,1,131,11,3,5,0,137,11,0,2,3,168,12,1,1,1,124,10,0,4,3,24,8,2,4,2,139,12,2,2,7,136,12,5,0,6,153,12,6,1,4,150,11,2,1,5,7,9,1,2,5,-1
