First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,blue herald,red herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,Winner
4,0,1,0,0,0,0,0,0,0,64,8,0,1,2,88,8,2,0,1,66,7,0,2,0,57,7,3,1,4,8,6,2,4,4,77,8,0,0,1,52,6,2,2,3,63,7,2,1,3,14,5,0,2,4,51,7,4,2,3,-1
3,0,0,0,0,0,0,0,0,0,71,8,0,0,0,55,6,1,0,4,75,8,4,0,1,67,7,4,1,4,4,6,0,2,6,82,8,0,0,0,45,6,0,2,1,61,8,2,1,0,59,6,0,4,1,3,4,1,2,1,1
7,0,1,0,0,0,0,0,0,0,88,8,0,1,0,57,6,0,2,1,80,8,1,1,1,73,6,0,1,2,5,6,1,1,1,65,8,0,1,4,56,7,2,0,4,79,8,1,0,1,69,6,2,1,2,15,6,1,0,0,-1
7,0,0,1,0,0,1,0,0,0,48,7,0,2,0,63,6,0,1,0,69,8,0,1,1,62,6,0,3,0,0,4,1,3,0,68,8,2,0,0,59,7,3,0,3,68,7,0,1,1,71,7,4,0,1,7,6,1,0,6,-1
2,0,1,0,0,0,1,0,0,0,53,8,2,2,3,60,7,6,2,3,56,7,1,1,5,79,7,4,1,0,1,6,0,0,3,48,7,2,3,2,51,7,2,3,0,81,8,1,1,3,73,7,1,3,0,11,5,0,3,1,-1
9,0,1,0,0,0,0,1,0,0,65,7,0,4,1,70,7,0,1,0,87,8,1,0,0,83,7,3,1,1,1,5,0,1,3,91,8,2,0,0,80,8,1,0,2,85,8,1,0,0,54,7,2,1,2,17,6,1,3,3,1
1,0,0,1,0,0,1,0,0,0,74,8,1,0,1,71,8,2,0,1,62,7,0,1,2,87,7,0,0,0,2,6,0,0,0,62,7,0,2,0,85,8,0,0,0,81,8,0,1,1,78,7,1,0,0,12,6,0,0,1,-1
1,0,0,0,0,0,1,0,0,0,78,8,3,3,0,64,7,2,1,0,72,8,1,1,1,89,7,1,0,1,5,6,0,0,3,64,8,2,3,1,68,8,2,0,1,58,8,1,2,1,84,7,0,1,0,14,5,0,1,1,1
4,0,0,0,0,0,1,0,0,0,75,8,0,0,2,77,8,3,0,2,80,8,3,0,0,45,6,1,2,1,7,5,0,0,5,55,7,0,2,0,55,6,1,0,0,85,8,0,1,0,82,7,1,2,0,7,5,0,2,2,1
3,0,1,0,0,0,0,0,0,0,65,8,1,1,2,83,8,3,1,4,69,8,4,2,2,56,7,2,1,2,2,6,2,3,2,47,7,1,5,2,62,8,3,1,1,80,8,3,1,2,76,7,0,1,2,7,5,1,4,3,1
6,0,0,0,0,0,1,0,0,0,57,7,0,3,2,69,8,3,0,0,80,8,1,0,0,75,7,1,1,1,4,4,0,3,2,55,7,3,2,0,72,8,2,0,2,63,7,1,2,0,64,6,1,1,1,16,6,0,0,4,-1
6,0,0,0,0,0,0,0,0,0,65,7,2,2,0,67,8,5,1,6,73,8,2,0,4,89,7,2,0,2,16,6,1,0,5,87,8,2,0,0,74,8,0,0,0,68,7,0,3,0,48,6,1,4,1,14,5,0,5,2,1
3,0,0,1,0,0,0,0,0,0,79,9,3,0,0,72,8,1,0,4,54,8,2,1,0,65,6,0,2,0,2,7,1,1,1,73,7,0,3,0,80,8,3,0,0,63,8,0,2,1,97,7,1,1,2,2,7,0,1,3,1
2,0,0,0,0,0,0,0,0,0,64,8,2,2,0,55,7,2,2,2,71,8,0,3,1,63,6,2,2,3,4,6,1,1,3,78,9,2,2,0,57,7,2,2,0,67,9,3,0,1,70,7,2,1,1,3,6,1,2,3,-1
4,0,0,0,0,0,0,1,0,0,68,8,0,3,1,44,6,1,1,1,76,8,2,2,0,69,6,1,2,1,5,6,0,2,2,82,9,3,1,1,68,8,4,0,0,67,8,1,1,2,62,7,1,2,3,8,6,2,1,2,-1
3,0,0,1,0,0,1,0,0,0,97,8,0,2,1,74,7,3,2,0,69,8,1,3,1,85,6,2,1,0,0,6,0,1,3,60,8,0,0,1,62,8,7,2,1,67,9,2,1,1,49,6,0,2,1,9,6,0,1,4,1
3,0,0,0,0,0,1,0,0,0,55,7,1,3,3,52,7,1,2,8,75,8,6,1,2,97,7,2,0,0,17,6,0,0,3,69,7,3,2,1,57,7,1,2,5,74,8,0,3,3,83,7,1,1,0,14,6,1,2,2,1
8,0,0,0,0,0,1,0,0,0,70,8,0,1,0,59,7,3,0,3,86,7,2,1,3,37,7,1,3,5,2,5,2,0,4,67,8,1,0,0,67,7,1,3,0,61,8,2,1,1,63,7,1,1,0,7,4,0,3,0,-1
1,0,1,0,0,0,0,0,0,0,84,9,4,1,0,59,7,3,1,1,65,7,2,0,6,75,7,4,2,3,14,6,1,0,3,47,6,0,4,1,87,8,1,0,0,74,8,1,3,1,39,5,1,6,1,8,5,1,1,1,1
10,2,1,0,1,0,1,0,0,0,82,8,0,1,3,71,8,3,0,0,70,8,2,0,1,46,5,0,4,2,2,5,1,4,1,49,7,0,2,1,58,6,2,2,0,60,8,1,1,0,75,6,3,1,5,21,6,3,0,5,-1
6,2,0,0,1,0,1,0,0,0,80,8,2,1,2,56,7,4,2,3,74,8,5,2,3,45,6,3,5,1,12,5,0,1,7,46,7,2,1,1,41,6,3,4,2,71,7,2,3,2,43,6,1,4,3,3,6,4,3,5,1
8,0,1,0,0,0,0,1,0,0,65,8,2,1,1,68,8,2,1,6,62,8,3,1,1,73,7,4,0,4,8,6,2,0,7,50,8,2,2,0,72,7,0,1,0,82,8,1,2,0,54,6,0,4,0,5,5,0,4,0,1
9,4,0,0,1,0,0,0,0,0,85,9,0,0,1,67,8,5,1,0,77,8,1,3,5,86,7,3,1,2,15,6,3,1,6,79,8,0,0,1,52,7,0,4,1,51,6,1,2,2,51,7,3,4,0,3,6,2,2,1,1
7,0,0,1,0,0,1,0,0,0,47,7,1,2,1,69,7,2,1,1,67,8,1,2,1,59,6,3,3,1,2,6,0,1,3,53,7,0,2,2,66,7,5,1,0,85,8,0,0,4,71,7,3,2,0,14,6,1,2,3,-1
